index,original_text,predicted_intent,actual_intent1,actual_confidence1,actual_intent2,actual_confidence2,actual_intent3,actual_confidence3,actual_intent_correct
0,how can one know if they have been infected?,Covid_Symptoms,tx_count,0.5976738929748535,covid-diagnosis,0.4659035444259644,covid_thailand_ill_case,0.2444091320037842,BELOW_THRESHOLD
2,airlines information,Airlines_Information,Covid_Description,0.4923874616622925,CDC_Info,0.34294116497039795,Bot_Control_Clarification,0.3013811588287354,BELOW_THRESHOLD
8,I have one more question,Bot_Control_Change_Subject,Bot_Control_Clarification,0.6081546783447266,Bot_Control_Change_Subject,0.488050651550293,Bot_Control_Unsure,0.3006629943847656,BELOW_THRESHOLD
10,How can I reduce the spread?,Social_Distancing,Treatment_info,0.3964350581169129,govt_emergency,0.31468220949172976,covid-prevent-spread,0.2953398704528809,BELOW_THRESHOLD
11,You're misunderstanding me,Bot_Control_Reject_Response,Bot_Control_Confirm_Presence,0.3555177211761475,General_Negative_Feedback,0.3273293495178223,General_About_You,0.2673224270343781,BELOW_THRESHOLD
14,You are on my nerves,General_Negative_Feedback,Covid_Symptoms,0.658116340637207,General_Negative_Feedback,0.41853854656219486,Bot_Control_Confirm_Presence,0.31678338050842286,BELOW_THRESHOLD
15,When will the NCAA championships be held?,Covid_Event_Shutdowns,Covid_School_Shutdown,0.4757023334503174,Covid_Event_Shutdowns,0.42798049449920655,Covid_Testing_Results,0.274235475063324,BELOW_THRESHOLD
26,In what way can I tell if my plastic is safe?,General_Security_Assurance,covid-fever-definition,0.48093178272247317,General_Security_Assurance,0.40989108085632325,covid-what-if-sick,0.33315349817276,BELOW_THRESHOLD
30,What do you mean by that?,Bot_Control_Clarification,General_Agent_Capabilities,0.6314127922058106,covid-shortness-of-breath-definition,0.46583137512207035,Bot_Control_Ignore_Undo,0.37852799892425537,BELOW_THRESHOLD
39,Pregnancy advice,covid_thailand_pregnancy,Covid_Symptoms,0.39415892362594607,Covid_Testing_Results,0.24465589821338654,Customer_Care_Appointments,0.2385614335536957,BELOW_THRESHOLD
41,I'm looking forward to working with you again! :),General_Positive_Feedback,General_Ending,0.41619424819946294,General_Human_or_Bot,0.3188265562057495,covid-schools-open,0.31169698238372806,BELOW_THRESHOLD
45,Yes send text message,Bot_Control_Approve_Response,Bot_Control_Reject_Response,0.29200305938720705,Bot_Control_Approve_Response,0.29125940799713135,Bot_Control_Start_Over,0.2846747994422913,BELOW_THRESHOLD
57,What do you mean?,Bot_Control_Clarification,General_Agent_Capabilities,0.5302582740783692,covid-shortness-of-breath-definition,0.5204671859741211,covid-fever-definition,0.4078145503997803,BELOW_THRESHOLD
70,Should I spray myself or my kids with disinfectant?,Covid_Cleaning_Disinfecting,covid-schools-open,0.46621594429016117,Covid_Cleaning_Disinfecting,0.4637065410614014,covid-diagnosis,0.28975898623466495,BELOW_THRESHOLD
85,Where can I learn more about covid?,Covid_Description,Bot_Control_Clarification,0.36793458461761475,who_video,0.3236412525177002,General_About_You,0.31662490367889407,BELOW_THRESHOLD
93,What are you saying?,Bot_Control_Clarification,General_Agent_Capabilities,0.31342549324035646,General_Human_or_Bot,0.30244888067245485,Bot_Control_Clarification,0.29444264173507695,BELOW_THRESHOLD
95,That's everything,General_Ending,Bot_Control_Ignore_Undo,0.4338272094726563,Bot_Control_Approve_Response,0.301733934879303,General_Greetings,0.29337258338928224,BELOW_THRESHOLD
99,Is it safe to fly to Seattle?,Covid_Travel_Restrictions,cdc_traveler,0.4251389265060425,Food_safety,0.3341156125068665,General_Greetings,0.32178148031234743,BELOW_THRESHOLD
100,Let us reopen this again.,Bot_Control_Start_Over,Bot_Control_Ignore_Undo,0.6117782115936279,Bot_Control_Start_Over,0.35452142953872684,Bot_Control_Standby,0.3111645340919495,BELOW_THRESHOLD
102,How do flu symptoms differ from cold symptoms?,covid-flu-vs-common-cold,covid-flu-vs-coronavirus,0.5066048622131347,covid-flu-vs-common-cold,0.3706743836402893,Covid_Symptoms,0.3432618141174316,BELOW_THRESHOLD
104,how does cover-19 compare to the SARS epidemic?,covid-flu-vs-coronavirus,globalcovid_pandemic,0.34990423917770386,COVID_Illness_Length,0.2860005676746369,Covid_Symptoms,0.2644469022750855,BELOW_THRESHOLD
106,Must a child be quarantined for 14 days if he/she had contact with a person who had travelled to a high-risk country/area? (child did not travel),covid_thailand_child_quarantine,covid_thailand_parent_quarantine,0.17455136679107142,covid_thailand_quarantine,0.1335309542983225,travel_embassies,0.13204192926365935,BELOW_THRESHOLD
107,Are you safe?,General_Security_Assurance,General_Human_or_Bot,0.4930809736251831,General_Security_Assurance,0.4068528175354004,Bot_Control_Confirm_Presence,0.28102559447288517,BELOW_THRESHOLD
111,Returning from abroad,travel_backtoUS,travel_embassies,0.4908966064453125,covid_thailand_travel_update,0.27295507192611695,Covid_Event_Shutdowns,0.2679918766021729,BELOW_THRESHOLD
115,i changed my mind,Cancel,Bot_Control_Approve_Response,0.627143955230713,Customer_Care_Appointments,0.30659409761428835,Bot_Control_Ignore_Undo,0.26145650744438176,BELOW_THRESHOLD
116,SARS vs Corona virus?,covid-flu-vs-coronavirus,Covid_Description,0.5268434762954712,covid-flu-vs-coronavirus,0.4689924001693726,tx_count,0.32608263492584233,BELOW_THRESHOLD
127,Hi can you transfer me,General_Connect_to_Agent,General_Greetings,0.38708555698394775,General_Connect_to_Agent,0.3093042492866516,Bot_Control_Confirm_Presence,0.249994096159935,BELOW_THRESHOLD
128,i need assistance,Help,Bot_Control_Start_Over,0.3127277135848999,Help,0.2931015729904175,Bot_Control_Reject_Response,0.289834064245224,BELOW_THRESHOLD
