,original_text,predicted_intent,actual_intent1,actual_confidence1,actual_intent2,actual_confidence2,actual_intent3,actual_confidence3
0,how can one know if they have been infected?,Covid_Symptoms,tx_count,0.5976738929748535,covid-diagnosis,0.4659035444259644,covid_thailand_ill_case,0.2444091320037842
1,How many cases of COVID-19 are in the Thailand?,tx_count,tx_count,0.9978486061096192,Treatment_hospital_capacity,0.2522840559482575,cdc_facts,0.24221449792385102
2,airlines information,Airlines_Information,Covid_Description,0.4923874616622925,CDC_Info,0.34294116497039795,Bot_Control_Clarification,0.3013811588287354
3,What is nearest hospital ?,Test_Center_Contact_Info,Test_Center_Contact_Info,0.6676450252532959,Covid_Description,0.3519688963890076,Treatment_hospital_capacity,0.2747255861759186
4,I was on vacation in another country. Do I need to quarantine?,covid_thailand_quarantine,covid_thailand_quarantine,0.7469499588012696,Covid_Travel_Restrictions,0.5014449834823609,Bot_Control_Change_Subject,0.28088892698287965
5,how do I know if i have this thing,Covid_Symptoms,Covid_Symptoms,0.5182248830795289,covid-diagnosis,0.48942313194274906,General_Agent_Capabilities,0.2728841066360474
6,About you,General_About_You,General_About_You,0.7766338348388673,General_Greetings,0.34311814308166505,General_Positive_Feedback,0.3426713109016418
7,is covid the same as the flu?,covid-flu-vs-coronavirus,covid-flu-vs-coronavirus,0.9833892345428468,Covid_Case_Count,0.2535980820655823,cdc_summary,0.2533978819847107
8,I have one more question,Bot_Control_Change_Subject,Bot_Control_Clarification,0.6081546783447266,Bot_Control_Change_Subject,0.488050651550293,Bot_Control_Unsure,0.3006629943847656
9,Is this a trusted chat site?,General_Security_Assurance,General_Security_Assurance,0.9103167057037354,General_Human_or_Bot,0.2851509213447571,Bot_Control_Change_Subject,0.26958138942718507
10,How can I reduce the spread?,Social_Distancing,Treatment_info,0.3964350581169129,govt_emergency,0.31468220949172976,covid-prevent-spread,0.2953398704528809
11,You're misunderstanding me,Bot_Control_Reject_Response,Bot_Control_Confirm_Presence,0.3555177211761475,General_Negative_Feedback,0.3273293495178223,General_About_You,0.2673224270343781
12,Let us talk about you,General_About_You,General_About_You,0.49906249046325685,Bot_Control_Change_Subject,0.3351634740829468,General_Connect_to_Agent,0.2528144359588623
13,status ?,tx_count,tx_count,0.6541415214538575,Covid_Case_Count,0.28917302489280705,CDC_Info,0.273420798778534
14,You are on my nerves,General_Negative_Feedback,Covid_Symptoms,0.658116340637207,General_Negative_Feedback,0.41853854656219486,Bot_Control_Confirm_Presence,0.31678338050842286
15,When will the NCAA championships be held?,Covid_Event_Shutdowns,Covid_School_Shutdown,0.4757023334503174,Covid_Event_Shutdowns,0.42798049449920655,Covid_Testing_Results,0.274235475063324
16,"I'm feeling sick, but I'm not sure whether I have the covid-19.",covid-diagnosis,covid-diagnosis,0.9526088237762451,Covid_Symptoms,0.3146608591079712,Airlines_Information,0.2592329561710358
17,Stop doing this,General_Ending,General_Ending,0.7388081073760986,Bot_Control_Ignore_Undo,0.27262814640998845,covid_thailand_when_quarantine,0.2675575613975525
18,I want to speak to a human,General_Connect_to_Agent,General_Connect_to_Agent,0.9975226402282715,General_Human_or_Bot,0.2524371206760407,covid_thailand_quarantine,0.23596225976943971
19,I'm afraid I have covid-19,Covid_Symptoms,covid-diagnosis,0.9382400989532471,General_Ending,0.3918870806694031,Application_for_COVID-19,0.2601221859455109
20,I don t know what you need,Bot_Control_Unsure,Bot_Control_Unsure,0.9186134338378906,General_Agent_Capabilities,0.29361282587051396,mask_type_question,0.2404779136180878
21,What is covid,Covid_Description,Covid_Description,1.0,Airlines_Information,0.0,Application_for_COVID-19,0.0
22,Talk about something else,Bot_Control_Change_Subject,Bot_Control_Change_Subject,0.9404869079589844,Bot_Control_Clarification,0.28036782741546634,General_Agent_Capabilities,0.2632857739925385
23,Is a headache a symptom of the coronavirus?,Covid_Symptoms,Covid_Symptoms,0.9690844535827636,covid-flu-vs-coronavirus,0.4142500162124634,covid_thailand_cost,0.30487914085388185
24,Could I speak to someone in the store next tuesday?,Customer_Care_Appointments,Customer_Care_Appointments,0.6564116954803467,General_Connect_to_Agent,0.4994700431823731,covid-schools-open,0.271077710390091
25,Please connect me to a live agent,General_Connect_to_Agent,General_Connect_to_Agent,0.9993369579315186,tx_count,0.27430981397628784,Bot_Control_Start_Over,0.23816317915916443
